Canada,pp30_1_3_Standard_10,,113010,P30
Canada,pp30_1_3_Standard_11,,113011,P30
Canada,pp30_1_3_Standard_12,,113012,P30
Canada,pp30_1_3_Standard_13,,113013,P30
Canada,pp30_1_3_Standard_14,,113014,P30
Canada,pp30_1_3_Standard_15,,113015,P30
Canada,pp30_1_3_Standard_16,,113016,P30
Canada,pp30_1_3_Standard_17,,113017,P30
Canada,pp30_1_3_Standard_18,,113018,P30
Canada,pp30_1_3_Standard_19,,113019,P30
Canada,pp30_1_3_NoDtmf1,,113020,P30
Canada,pp30_1_3_NoDtmf2,,113021,P30
Canada,pp30_1_3_NoDtmf3,,113022,P30
Canada,pp30_1_3_NoDtmf4,,113023,P30
Canada,pp30_1_3_NoDtmf5,,113024,P30
Canada,pp30_1_3_NoDtmf6,,113025,P30
Canada,pp30_1_3_NoDtmf7,,113026,P30
Canada,pp30_1_3_NoDtmf8,,113027,P30
Canada,pp30_1_3_NoDtmf9,,113028,P30
Canada,pp30_1_3_NoDtmf0,,113029,P30
Canada,pp30_1_3_NoDtmfStar,,113030,P30
Canada,pp30_1_3_NoDtmf#,,113031,P30
Canada,pp30_1_3_NoDtmfs,,113032,P30
Canada,pp30_1_3_NoRtd1,,113033,P30
Canada,pp30_1_3_NoRtd2,,113034,P30
Canada,pp30_1_3_NoRtd3,,113035,P30
Canada,pp30_1_3_NoRtds,,113036,P30
Canada,pp30_1_3_NoFax1100,,113037,P30
Canada,pp30_1_3_NoFax2100,,113038,P30
Canada,pp30_1_3_NoFaxs,,113039,P30
Canada,pp30_1_3_SpeechPow-4.5,,113040,P30
Canada,pp30_1_3_SpeechPow+4.5,,113041,P30
Canada,pp30_1_3_SpeechWhNoise-40,,113042,P30
Canada,pp30_1_3_CmsgNoise-40,,113043,P30
Canada,pp30_1_3_DTMFModDuration,,113044,P30
Canada,pp30_1_3_FaxHalfDuration,,113045,P30
Canada,pp30_1_5_Standard_00,,115000,P30
